C�digo;A��o;Tipo;Qtde. Te�rica;Part. (%)
RRRP3;3R PETROLEUM;ON      NM;196.144.421;0,271;
ALSO3;ALIANSCSONAE;ON      NM;330.109.863;0,295;
ALPA4;ALPARGATAS;PN      N1;202.765.994;0,095;
ABEV3;AMBEV S/A;ON;4.386.652.506;3,172;
ARZZ3;AREZZO CO;ON      NM;60.758.326;0,212;
ASAI3;ASSAI;ON      NM;935.793.199;0,771;
AURE3;AUREN;ON      NM;301.966.318;0,228;
AZUL4;AZUL;PN      N2;327.646.296;0,222;
B3SA3;B3;ON      NM;5.901.731.302;3,549;
BPAN4;BANCO PAN;PN      N1;341.549.703;0,088;
BBSE3;BBSEGURIDADE;ON      NM;671.682.536;1,124;
BBDC3;BRADESCO;ON      N1;1.508.883.586;0,921;
BBDC4;BRADESCO;PN      N1;5.156.077.326;3,637;
BRAP4;BRADESPAR;PN      N1;251.016.648;0,340;
BBAS3;BRASIL;ON  EJ  NM;1.420.731.069;2,734;
BRKM5;BRASKEM;PNA     N1;265.212.486;0,248;
BRFS3;BRF SA;ON      NM;1.076.512.610;0,365;
BPAC11;BTGP BANCO;UNT     N2;1.225.470.424;1,264;
CRFB3;CARREFOUR BR;ON      NM;528.743.156;0,332;
CBAV3;CBA;ON      NM;191.350.000;0,072;
CCRO3;CCR SA;ON      NM;998.462.635;0,603;
CMIG4;CEMIG;PN      N1;1.442.098.974;0,793;
CIEL3;CIELO;ON      NM;1.095.401.258;0,284;
COGN3;COGNA ON;ON      NM;1.820.405.422;0,209;
CPLE6;COPEL;PNB     N2;1.563.365.506;0,552;
CSAN3;COSAN;ON      NM;1.171.063.698;0,849;
CPFE3;CPFL ENERGIA;ON      NM;187.732.538;0,299;
CMIN3;CSNMINERACAO;ON      N2;1.110.550.596;0,263;
CVCB3;CVC BRASIL;ON      NM;275.967.676;0,046;
CYRE3;CYRELA REALT;ON      NM;274.142.301;0,221;
DXCO3;DEXCO;ON      NM;274.863.424;0,091;
ECOR3;ECORODOVIAS;ON      NM;310.103.685;0,075;
ELET3;ELETROBRAS;ON      N1;2.021.119.463;3,454;
ELET6;ELETROBRAS;PNB     N1;275.526.814;0,509;
EMBR3;EMBRAER;ON      NM;734.632.205;0,745;
ENAT3;ENAUTA PART;ON      NM;77.336.145;0,044;
ENBR3;ENERGIAS BR;ON      NM;246.028.184;0,275;
ENGI11;ENERGISA;UNT     N2;248.477.689;0,504;
ENEV3;ENEVA;ON      NM;1.576.898.490;0,909;
EGIE3;ENGIE BRASIL;ON      NM;255.208.461;0,529;
EQTL3;EQUATORIAL;ON      NM;1.100.513.485;1,493;
EZTC3;EZTEC;ON      NM;94.318.339;0,071;
FLRY3;FLEURY;ON      NM;351.919.239;0,265;
GGBR4;GERDAU;PN  ED  N1;1.093.112.629;1,434;
GOAU4;GERDAU MET;PN  ED  N1;667.194.478;0,391;
GOLL4;GOL;PN      N2;190.059.275;0,070;
GMAT3;GRUPO MATEUS;ON      NM;463.952.163;0,138;
NTCO3;GRUPO NATURA;ON      NM;835.961.011;0,575;
SOMA3;GRUPO SOMA;ON      NM;490.736.222;0,222;
HAPV3;HAPVIDA;ON      NM;4.455.957.762;0,597;
HYPE3;HYPERA;ON      NM;400.842.480;0,845;
IGTI11;IGUATEMI S.A;UNT     N1;213.576.831;0,213;
ITSA4;ITAUSA;PN      N1;5.233.076.295;2,133;
ITUB4;ITAUUNIBANCO;PN      N1;4.801.489.940;5,851;
JBSS3;JBS;ON      NM;1.134.986.483;1,150;
